Question,Answer
What is the process to setup voucher numbering in BUSY?,"To set up voucher numbering in Busy, you can follow these steps:
Step 1: Take backup of your company then go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, etc.
Step 3: Select the voucher series and click on voucher numbering.
Step 4: Choose the Numbering Type as either Automatic or Manual. 
Step 5: After selecting Automatic set the prefix, suffix, and Starting No. as per your needs and click on OK to save the settings."
What is the process to update vehicle numbers in the muliple invoices?,"To update the vehicle number in multiple vouchers then follow the below steps.
Step 1: Go to administration and click on miscellaneous data entry option
Step 2: Then update transport details and pick transaction for central,local or both as per your need then all parties and mention the date.
Step 3: Now all the voucher will show and you can update vehicle number manually in it."
What is the process to upload monthly bills and sales receipts in Busy?,"If you want to upload monthly bills, sales and receipts in Busy then please follow the given steps
 
 Step 1: Go to transaction and select respective voucher to add transaction
 Step 2: For add purchase you can select purchase then add voucher 
 Step 3: For add sale you can select sale then add voucher
 Step 4: For add receipts then select receipt voucher and then add"
What is the proper way to make a sale bill in Busy?,"To make a proper sale bill in busy then follow the below steps.
Step 1: Go to transactions and then sales
Step 2: Click on Add and mention date, voucher number then sale type as per your need for local or interstate and choose the party.
Step 3: Enter the item details and then apply the tax in bill sundry by using shortcut F4 if your sale type is single or multi rate or if you have selected itemwise or taxinclusive then tax will get apply with each item when press enter in the amount column."
What is the proper way to enter unpresented cheques and outstanding deposits in Busy for reconciliation,"To enter unpresented cheques and outstanding deposits in Busy for reconciliation, follow these steps:
Step 1: Open Busy and navigate to the Transaction section.
Step 2: Enter the transaction details and save it as PDC (Post Dated Cheque) for unpresented transactions."
What is the right process to record registered expenses in Busy?,"To post the registered expense entry in Busy, you can follow the below steps:
Step 1: Go to transaction menu then select journal voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select registered expense option in gst nature field.
Step 3: Next, post the accounting entry for expense wth gst afterward, a window for registered expense will appear.
Step 4: here, specify the all details related to gst in window and save the invoice."
What is the right way to post accounting for freight and forwarding charges that are reimbursements in Busy?,"In Busy, you can post journal entry for freight and forwarding reimbursement entry in Busy by follow the below steps:
Step 1: Go to transaction menu then select journal voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select gst nature as per requirement.
Step 3: Next, post the accounting entry for freight and forwarding reimbursement and save the voucher."
What is the right way to book hotel expenses where the ITC is not eligible?,"To post the entry to book hotel expenses where ITC is not eligible in Busy, you can follow the below steps:
Step 1: Go to transaction menu then select journal voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select registered expense option in gst nature field.
Step 3: Next, post the accounting entry for expense with gst afterward, a window for registered expense will appear.
Step 4: here, specify all details related to gst then select ITC eligibility as per business then save the voucher."
What is the right way to create sales vouchers in Busy so that the sales get reflected in GST returns?,"Step 1: Go to Transaction click on Sales then add 
 Step 2: in Add Sale Voucher Windows select date and sale type 
 Step 3: Select party name and item name qty price and item amount 
 Step 4: Apply the GST 
 Step 5: Save the Bill"
What is the right way to enter invoices for local and inter-state transactions in BUSY?,"To enter invoice in local and central tax , you can follow the below steps:
 Step 1: Go to transaction and select the voucher then click on add.
 Step 2: You have to choose voucher type as per your party state, local for intra state transactions and choose central for interstate transactions in the voucher.
 Step 3: In the bill sundry, apply tax by using f4 shortcut key for single or multi rate voucher type.If you have selected itemwise or taxinclusive then tax will get apply with each item when press enter in the amount column."
What is the right way to post conveyance expense payment entry in Busy?,"To record a payment entry for conveyance expense, you need follow these steps:
Step 1: Go to transaction menu then select payment voucher and click on add tab.
Step 2: Now, Specify the voucher series, date, voucher number then select gst nature as per entry.
Step 3: Next, post the accounting entry for payment then save the voucher."
What is the right way to modify voucher entries which is enter incorrectly in busy?,"To modify voucher entries then follow the below steps.
 Step 1: Go to Transaction menu and select the required voucher
 Step 2: Click on modify and open the voucher in which you want to do the changes then save it."
"What is the right way to show additional charges like cleaning, folding etc in purchase voucher?","To show the additional charges like cleaning, folding in the voucher then follow the below steps.
Step 1: Go to administration and click on masters
Step 2: Click on bill sundry and then add, here create bill sundry name as additional charges.
Step 3: Choose bill sundry type as addictive and bill sundry nature as others
Step 6: For accounting in sales or purchase option,
Step 7: You can select bill sundry as percentage base,per quantity base and as absolute amount
Step 8: Then go to transaction tab and create a invoice and you can use that bill sundry as a additional charges"
What is the settlement window in Busy and how can it be used?,"Settlement window is used to adjust the bill amount in different settlement modes such as cash, card, etc. To use this follow these steps:
Step 1: Go to Administration menu then click on configuration sub menu.
Step 2: Select voucher series configuration and select the voucher type such as sales, purchase, et cetra.
Step 3: Choose the series and click on voucher configuration.
Step 4: Here, set Yes on enable settlement details option then click on configure button.
Step 5: Tick on the required settlement mode then tag the relevant account and save."
How to copy POS configuration from existing POS series?,"To copy POS configuration from existing POS series, you need to follow these steps:
Step 1: Go to Administration menu then click on configuration sub menu.
Step 2: Select voucher series configuration and select the voucher type such as sales, purchase, et cetra.
Step 3: Choose the series then click on voucher configuration and enable advanced POS data entry option.
Step 4: Click on configure advanced POS option then press F4 Shortcut Key and select the existing series then press yes for copy and save."
What is the step to print journal voucher in Buys?,"To print the journal voucher in Busy, follow the below steps:
Step 1: Go transaction section then click on journal and select modify tab.
Step 2: Now, open the voucher in modify mode then press ALT+P shortcut to give print command.
Step 3: Next, select voucher option then choose standard format and click on print."
What is the right way to create sales vouchers in Busy so that the sales get reflected in GST returns?,"To record bills and expenses transactions, we have to go to :
Step 1 : Transactions
Step 2 : Jounrla 
Step 3 : Add 
Step 4 : Select expense account and add entry"
What is the use of Fix length of numeric part in voucher numbering?,The use of Fix length of numeric part is for set the character limit of voucher numbering numeric part excluding prefix and suffix.
What is UQC and how do I enter it for my items?,"UQC is a Unit Quantity Code. It is used to define the unit of measurement for items such as pieces,dozen etc
To enter the UQC code for items you can follow these steps:
Step 1: Go to administration option
Step 2: Then click on masters
Step 3: Then click on item
Step 4: Then open the item master from modify or list option
Step 5: Then specify the UQC in unit field and save the master"
What is your Busy license number ?,"Busy license number is a unique identifier code provided to a user when they purchase BUSY.This number is used to authenticate and validate the user's right to use the software. 
 For BUSY online support, you need to provide license number. If you have any difficulties finding or accessing your license number, you may want to check any documentation or emails you received when you initially purchased the software. 
 Step 1: You can also find license number , open Busy application and on top Busy window you will get Model Name and (S.No.)."
What kind of vouchers can I create and what are the steps?,"In Busy, You can create different types of vouchers in from transactions menu which are dual voucher it consists of both where your accounting and inventory will get maintain such as purchase,sale, purchase return,sales return then accounting vouchers which are payment, receipt, journal, then inventory vouchers which are stock transfer, stock journal, physical stock etc."
How can I add billing and shipping details in the sales voucher?,"To add billing and shipping details in the sales voucher then follow the below steps.
Step 1: Go to administration and then configuration.
Step 2: Then voucher series configuration and select the voucher type sales and click on series.
Step 3: Click on voucher configuration and enable seperate billing and shipping details option then sayve it.
Step 4: Go to transactions and then sales,here click on add after party master the shipping details window get open where you can add it details."
How to open voucher confiuration settings in Busy?,"To open the voucher configuration settings in Busy, you need to follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration."
What mistakes should I avoid while entering invoices to ensure proper ITC claims in Busy?,"To claim the proper ITC, you need to follow these steps while entering the invoices: 
 Step 1: Select the correct ITC Eligibility in the purchase voucher and in the registered expense and fixed assets accounts.
 Step 2: Enter the correct tax rate in the item master and charge accordingly in the voucher.
 Step 3: Choose the correct GST Nature in the journal or payment vouchers."
What needs to be checked if markup window not showing in voucher even the feature is enabled?,"If markup window is not showing in voucher even the feature is enable then, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, check the item-wise markup is Yes or No. If No then Yes on it and specify the structure the save."
I want to split my bill amount into different modes of payment. What should i do?,"If you want to split your bill amount into different modes of payment, such as cash, credit card, etc., you can use the Settlement feature in BUSY. To set it up, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Choose the Voucher Series Configuration option and select the voucher type that you want to set up settlement for, such as sale, purchase, etc. Then, select the voucher series and click on Voucher Configuration.
Step 3: You will see the Enable Settlement Detailsfeature. Set it to Y to enable it. Then, check the boxes for the payment modes that you want to allow in the settlement window, such as cash, credit card 1, etc. Next, enter the account name and other required details and save the changes."
What options are available if I need to re-categorize the tax category in tax inclusive old invoices?,"To enter the correct tax category in the item during voucher entry then follow the below steps.
Step 1: Take the backup of your data.
Step 2: Go to transaction and you have to open the required voucher in modify mode
Step 2: Then put the cursor on item and press Alt+M shortcut key to open the item master.
Step 3: Then select the correct tax category and re enter in the voucher and sayve it.
Step 4: Go to housekeeping menu and run recalculate item tax amount then press ok. Due to this tax category recategorize in all the tax inclusive vouchers."
What options are available in Busy if my purchase voucher is tax inclusive rather than multi-rate?,"To add purchase voucher with tax inclusive in busy follow below steps:

Step 1: Go to transactions menu and select purchase from it.
Step 2: Then click on add option to add purchase voucher.
Step 3: Then select purchase type as Central-TaxInclusive or Local-TaxInclusive.
Step 4: After that mention all necessary information in purchase voucher then click on save button."
How to add new voucher series in Busy?,"To add new voucher series in Busy, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Click on add new then enter the series name and save."
What options are there for invoicing individual consumers instead of registered businesses?,"There are two ways to generate bills for customers who are not registered (B2C Transactions) in Busy. You can either create a master for them with the dealer type as unregistered and select them as the party in the voucher entry, or you can use the cash party option in the voucher entry and enter the customer name in the Billing / Shipping window.
To enable Billing / Shipping feature, you need to follow these steps:
Step 1: Go to Administration menu and click on Configuration. 
Step 2: Select Voucher Series Configuration and choose voucher type such as Sales, Sales Return, etc.
Step 3: Select your series and click on Voucher Configuration.
Step 4: Here, you can enable option called Seperate Billing / Shipping Details and save."
What options are there in Busy to manage customers who order from my online store?How to create employee profiles and manage payroll in Busy?,"In Busy Enterprise edition, you can configure Payroll and manage employee and their salaries. To configure this, follow these steps:
Step 1: Go to Administration and click on configuration. 
Step 2: Select Features and Options and click on Enterprises Features. 
Step 3: Here, you will a feature called Enable Payroll, set Y on that to turn it on.
Step 4: Click on configuration and can enable the salary mode(s) such as Monthly Salary, Daily Wages and Production as per the requirements.
Step 5: You can also configure for deductions such as TDS, Professional Tax, PF and ESI as needed and save.
Step 6: Next, you need to create employee from Masters under the Administration menu.
Step 7: Click on Add and enter all the necessary details such as Name, Group, Date of joining, etc.
Step 8: You have to set Salary structure and mention salary components such as Basic, HRA, PF, etc.
Step 9: For TDS deductions you need to click on TDS Details tab and need to mention deduction details and save."
What options do I have to add or update bank transactions in Busy?,"To add or update bank transaction in Busy, you can follow the below steps:
Step 1: Go to transaction section then select required voucher type like payment, receipt, contra etc.
Step 2: Now, click on add tab then specify the voucher number, date, series and gst nature.
Step 3: Post accounting entry for bank transaction then save the voucher."
How to add non gst sales voucher in busy?,"To add the non gst sales voucher in busy then you have to select the non gst sale type in the voucher.
Please follow the below steps.
Step 1: Go to administration and then masters
Step 2: Click on sale type and then add, here mention the sale type name as Non GST and in the taxation type choose as Non GST, select the region and sayve it.
Step 3: Go to transactions and then sales
Step 4: Click on add option, select the sale type as Non gst then enter the required voucher details and sayve it.
"
How to apply discount for each item in the sales voucher?,"To apply the discount for each items in the sales voucher then follow the below steps.
Step 1: Go to administration and then configuration.
Step 2: Then voucher series configuration and select the voucher type sales and click on series.
Step 3: Click on voucher configuration and enable item wise discount option then specify discount structure as per your need and sayve it.
Step 4: Go to transactions and then sales,here item wise discount window get open in each item after unit their you have to mention discount value. after entering all details then sayve it."
What settings do I need to change so discounts are calculated properly in invoice?,"To enable item wise discount in invoice, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on item wise discount then specify the structure and save."
What settings do I need to enable rounding off of invoice amounts in Busy?,"To automatic round off the invoice amount in Busy, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on auto round off final amount and click on configure button.
Step 5: Select automatic as rounding off mode then specify the round off bill sundry and save."
What should I check if showing error 4 while sending email from Busy?,"If showing error 4 while sending email from Busy, follow these steps:
Step 1: First chek the internet connectivity on your system.
Step 2: Check your antivirus setting and make sure the Busy application is not blocked in it.
Step 3: Check after change the internet connection."
How to enable e way generation option for sales voucher?,"To enable e way bill generation option for sales voucher, you need to follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on Generate e way bill after saving option then save."
What should I check in the distance field in the Transport Details window?,"If there is any error related to distance in Busy, you can check the below aspects in transport window:
Step 1: Enter 0 for the distance in transport window to let the software automatically pick up the distance from E way bill portal.
Step 2: Ensure that you had mention Bill to Place and Pin code properly in the eway bill configuration window.
Step 3: The Bill to station and pin code field should be mention correctly in transport details window.
Step 4: Also if the distance is not taking correct while clicking on check distance you can enter the distance manually."
While entering voucher not picking the current date automatically?,"To pick up current date in voucher, you need to follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, select system date as set default date in voucher as option."
How to configure my email id for sending invoices from Busy?,"To configure email id for sending invoices from Busy, follow these steps:
Step 1: Open your company then go to Administration tab.
Step 2: Select Configuration and click on Email Configuration.
Step 3: Click on Send Directly choose Send Reports options as required.
Step 4: Specify smtp.gmail.com in SMTP Server then mention your gmail id in User Name.
Step 5: You need to create App Password from your google account. You can check our document available for how to create it.
Step 6: Now, click on Test Account Settings for sending a test mail then save the configuration."
What should I do if email not sending from Busy and showing some error?,"If email not sending from Busy and showing some error, then you need to follow these steps:
Step 1: First go to administration menu then select configuration sub menu.
Step 2: Click on email configuration then check all the details are correct and click on test account settings to see if test mail is working or not.
Step 3: If showing error then you need to generate app password again from your email account settings and enter in Busy.
Step 4: Check your system antivirus setting and make sure that the Busy is not blocked in it.
Step 5: Check after change the internet connection."
What should i do if changing my password did not resolve sending email issues in BUSY?,"If you are facing issue in sending email after changing the password then, check these steps also:
Step 1: Open the email configuration in Busy and check the SMTP server and port number is correct as per your email id.
Step 2: Check the antivirus settings and make sure Busy is not blocked in it.
Step 3: Check after changing the internet connection."
I want to see item details alphabetically in the sales voucher. How to do it?,"To see the item details alphabetically in the sales voucher then follow the below steps.
Step 1: Go to administration and then configuration.
Step 2: Then voucher series configuration and select the voucher type sales and click on series.
Step 3: Click on voucher configuration and choose item wise in the option items sorting while saving then save it.
Step 4: Go to transactions and add the sales voucher, when you save the voucher then item get sort in alphabatical order."
What should I do if the accounting entry is not showing correctly in ledger report?,"If the accounting entry is not showing correctly in ledger report then Cross check the posted accounting entry and made correction in case of mistake.
"
What should I do if I am locked out of my email account associated with Busy?,If you are locked out of your email associated with busy then you need to configure the different email id in Busy for sending mail from Busy.
There are some items in the voucher which i do not want to show in the gst reports. How to do it?,"If you dont want to show some items in the gst reports then follow the below steps.
Step 1: Click on administration and then masters
Step 2: Select item and click on modify, here open the item which you dont want to show in gst report.
Step 3: On right side, enable the skip in gst report option then save it. When you reenter the item in the voucher then that item value will not show in gst reports."
How to remove the line Sent from Busy Accounting Software while sending email from Busy?,"To remove line Sent From Busy Accouting Software while sending email from Busy, follow these steps:
Step 1: First go to administration menu then select configuration sub menu.
Step 2: Click on email configuration and press Control + ALT + S key from your keyboard.
Step 3: Press yes on window appear of do you want to remove busy signature. Please note once removed can not be recover."
What should I do if I encounter SMTP error code 3 in BUSY?,"If you are facing SMTP error code 3 while sending email from Busy, then follow these steps:
Step 1: First go to administration menu then select configuration sub menu.
Step 2: Click on email configuration then check the SMTP server specified is correct or not as per your email id. If wrong correct it and check again."
"What should I do if I entered incorrect values in invoices, credit notes, or quotations in Busy?","To modify or edit the invoices , credit notes or quotations in Busy follow these steps: 
 Step 1: Go to transaction and then click on Sales or Credit notes or Quotation as per requirement. 
 Step 2: Click on the Modify option and enter the voucher series, date, and voucher number of the invoice you want to modify 
 Step 3: After access the invoice in modify mode, can edit and mention the correct value and save the voucher. 
 Note: If you are eligible for E-invoicing, it is not recommended to modify the invoice. Instead, you should cancel the invoice with E invoice and then recreate the invoice with another document number."
What should I do if I forget my Softlock registered password?,"These are the steps for Reset softlock registered password :
 
 Step 1: Open Busy Software
 Step 2: Go to Company Menu
 Step 3: Click on License Management Option 
 Step 4: Then click on Get Softlock License File
 Step 5: Then mention Busy serial in the field of SERIAL number
 Step 6: Then Mention Softlock registered Email ID in the field of Registered Email ID
 Step 7: Afterward, select the Forgot option, and a Mail will be sent to your registered email ID. 
 Step 8: You can then check your Softlock registered password."
What should I do if showing SMTP error code 114 while sending email from Busy?,"If you are facing SMTP error code 114 while sending email from Busy, then follow these steps:
Step 1: First go to administration menu then select configuration sub menu.
Step 2: Click on email configuration then check the email id is correct or not.
Step 3: If email id is correct then you need to generate the app password again from your email account then enter in Busy and check."
When I am saving the voucher then error is showing as invalid tax type. How to correct it?,"To resolve the invalid tax type error while saving the voucher then follow the below steps.
Step 1: Click on administration and then masters
Step 2: Then account and click on modify then open the gst account for local or central.
Step 3: Select the correct tax type for igst as igst, cgst as cgst and sgst as sgst then save it and reapply it in the voucher."
What should i do if my file attachments aren't going through Busy via email?,"If the attachments are not sending with email from Busy, then follow these steps: 
Step 1: First go to administration menu then select configuration sub menu.
Step 2: Click on email configuration then check the PDF attachment option ticked or not.
Step 3: Check the antivirus settings not blocking the Busy application to send PDF or access the internet connetion.
Step 4: Ensure that Busy is running as an administrator to avoid any permission error.
Step 5: Check the date format and regional settings of system is compatible with Busy."
What should i do if some voucher are not showing in list of payment?,"If some voucher are not showing in the list of payment then check the below steps.
Step 1: If the voucher value is zero then it does not show in payment list.
Step 2: If you are using approval feature and the voucher is unapproved then will not reflect in list."
What should I do if the auto email doesn't show up after saving vouchers in Busy?,"If email option not showing after saving vouchers then follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Purchase, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on send email after saving option then save."
I have added purchase voucher with gst rate but in the gst summary it is showing tax value is zero. How to resolve it?,"To resolve the tax rate value issue in the purchase voucher then follow the below steps.
Step 1: Click on transactions and then select purchase
Step 2: Then modify and open the voucher whose tax rate is showing as zero.
Step 3: In itc eligibility option you have to select it as input goods and services then save it."
Why does the busy showing debit and credit amounts should be equal while posting journal entry?,"If you are getting error related to debit and credit amounts should be equal then you need to mention the equal amount for both debit and credit side and in case of some decimal value difference, you can use round off account to balance both the sides."
What should i do if e invoice generation option not showing after saving voucher?,"If e invoice generation option not showing after saving voucher, you need to follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on Generate e invoice after saving option then save."
How to pass RCM entry through purchase voucher in busy?,"To pass RCM entry through purchase voucher then follow the below steps.
Step 1: Click on Transactions and then purchase
Step 2: Select purchase type and click on add option,here enter name as RCM.
Step 3: Then choose taxation type as RCM/unregistered and select region then save it.
Step 4: Go to transactions and then purchase
Step 5: Click on add, here select the purchase type as RCM then enter other required details and save it.
Step 6: Click on gst misc. utlities under administration menu, here click on check and post consolidated rcm payable.
Step 7: Select the basis either monthly or daily as per your need,after that click on entry and press enter key then another window get open of consolidated RCM payable.
Step 8: Press F4 shortcut key to post the RCM booking entry in journal voucher."
What steps are involved in integrating WhatsApp with BUSY for notifications?,"The below steps which are involved for WhatsApp integration in BUSY.
 
 For Whatsapp Configuration :
 Step 1: Make sure that the window should be 8 or above
 Step 2: Download the whatsapp web from the microsoft store or from any other site.
 Step 3: Install it and scan your whatsapp QR code then your whatsapp will get open in the system.
 Step 4: Open the BUSY software 
 Step 5: Click on Administration
 Step 6: Then Configuration
 Step 7: Then SMS API Configuration
 Step 8: Click on add format by whatsapp name
 Step 9: Then mention the whatsapp api  with parameter of mobile- phoneno and message- message and tick the PDF option and save it.
 Step 10: Make sure that the whatsapp number should mention in the party master.
 Step 11: From voucher series configuration, select the required voucher type for sending whatsapp while saving the voucher then click on voucher configuration and enable the option send sms after saving.
 Step 12: Go to the transaction menu, add the voucher and when you save then will ask for sending the sms. There select the whatsapp format and click on send, Whatsapp window will get open and pdf invoice link will get send to the party master whatsapp number."
What steps can i take if the email test fails while entering the right SMTP details in Busy?,"If the email test fails despite entering the correct SMTP details in Busy, you can try the following steps:
 
 1. Double-check the SMTP server details, including the server address, port number, and encryption settings.
 2. Verify that the username and password for the SMTP server are entered correctly.
 3. Ensure that there are no typos or errors in the email address or sender name.
 4. Check if there are any firewall or antivirus settings blocking the connection to the SMTP server.
 5. Test the email settings using a different email client or application to see if the issue is specific to Busy.
 6. Contact your email service provider or IT support for further assistance if the problem persists."
What steps can i take to add description details to my items in voucher?,"To add description details to items in voucher, follow these steps:
Step 1: Go to Administration and click on configuration.
Step 2: Select Voucher Series Configuration and the choose the voucher type such as Sales, Sales return, et cetra.
Step 3: Select the voucher series and click on voucher configuration.
Step 4: Here, set Yes on item wise description and configure lines as per the requirements then save."
What steps can I take to resolve the issue of being unable to generate a B2B invoice in BUSY?,"To resolve the issue of not being able to generate a B2B invoice in BUSY: 
Step 1: Select the registered expense B2B in the gst nature optionn.
Step 2: Ensure that gst type should be selected as gst applicable in the expense or fixed asset account. and GST details should be entered it.
Step 3: Entry should be correct as debit the expense or fixed account, gst tax account and credit the either cash, bank or party account then save it."
What is the process to register softlock license in busy?,"To register softlock in Busy, you need to follow these steps:
 Step 1 : open busy
 Step 2 : go to company menu
 Step 3 : license management
 Step 4 : softlock registration
 Step 5 : Enter your registration details, including your activation key and serial number.
 Step 6 : Click on the Register button to complete the registration process."
What steps do I need to take to activate new license purchased of busy?,"Below are the steps for activating the Busy Product :
Step 1: Find the soft lock activation Key and Serial no of the product from his mail.
Step 2: Install BUSY setup in Windows system/Laptop
Step 3: Go to company menuand then Liceance management and then Soft lock registration 
Step 4: Complete soft lock registration for - current machine /other machine 
Step 5: Bind soft lock with - Harddisk (HDD) /Machine ID/ IP
Step 6: Complete Serial No. details - S.No, Activation code and validate 
Step 7: Provide registration details with user mail ID and password 
Step 8: Click on Register 
Step 9: Process complete and follow the given message 
Step 10: will get the file in the mail keep it in Busywin and reopen BUSY.
Step 11: Go to Set Model and choose as per the license"
"What should I do if I entered incorrect values in invoices, credit notes, or quotations in Busy?","If you are unbale to send any email from busy then follow the steps to fix this issue.
 Step 1. Go to Administration Menu
 Step 2. Then click on Configuration
 Step 3. Now click on Email configuration
 Step 4. Verify that the server name is correctly set as smtp.gmail.com. If you are using Gmail Account
 Step 5. Also verify that two step factor authenticaiton is enabled in your Gmail account. 
 Step 6. Alternatively you can generate a new App specific password in your gmail account and input it into the 
 password field in Busy.
 Step 7. Check your antivirus, firewall, or Windows Defender, as they might be blocking your account.
 Step 8. Ensure you have an active and stable internet connection.
 Step 9. Exclude Busy21.exe files from antivirus.
 Step 10. Exclude Busywin folder from antivirus."
While applying the tax in the sales voucher from f4 shortcut key then cgst and sgst value is not same. How to resolve it.,"If the cgst and sgst value is not same then ensure that bill sundry configuration should be same.
Please follow the below steps.
Step 1: Go to transaction and you have to open the required voucher in modify mode
Step 2: Then put the cursor on cgst or sgst bill sundry and press Alt+M shortcut key to open it.
Step 3: Then check the configuration and make it same, re enter in the voucher and save it."
How can I apply cess in the sales voucher?,"To apply cess in the sales voucher then follow the below steps
Step 1: Go to administration and then configuration
Step 2: Then features and options, click on GST VAT tabb
Step 3: Enable cess option then save it, then open the required item tax category in which you want to use cess and mention the cess value.
Step 4: Go to transactions and click on sales voucher then add option
Step 5: Here if you use sale type as single rate,multi rate then press f4 shortcut key to apply cess with tax in bill sundry and if you use sale type as itemwise or taxinclusive then tax with cess will get apply after entering on amount column with each item then save it. "
